judge,face,cond,C1,C2,rating
26,34,A,-0.5,0,6
53,34,A,-0.5,0,2
46,34,A,-0.5,0,4
24,34,A,-0.5,0,4
34,34,A,-0.5,0,1
16,34,A,-0.5,0,4
58,34,A,-0.5,0,2
12,34,A,-0.5,0,3
39,34,A,-0.5,0,4
38,34,A,-0.5,0,2
37,34,A,-0.5,0,3
43,34,A,-0.5,0,2
3,34,A,-0.5,0,1
54,34,A,-0.5,0,4
11,34,A,-0.5,0,4
61,34,A,-0.5,0,2
13,34,A,-0.5,0,2
70,34,A,-0.5,0,6
44,34,A,-0.5,0,3
14,34,A,-0.5,0,2
17,34,A,-0.5,0,5
27,34,A,-0.5,0,2
55,34,A,-0.5,0,3
36,34,A,-0.5,0,3
5,34,A,-0.5,0,4
21,34,A,-0.5,0,2
48,34,A,-0.5,0,1
23,34,A,-0.5,0,2
2,34,A,-0.5,0,7
35,34,A,-0.5,0,5
1,34,A,-0.5,0,5
67,34,A,-0.5,0,4
29,34,A,-0.5,0,6
52,34,A,-0.5,0,6
62,34,A,-0.5,0,5
50,34,A,-0.5,0,6
4,34,A,-0.5,0,4
9,34,A,-0.5,0,3
56,34,A,-0.5,0,5
49,34,A,-0.5,0,4
64,34,A,-0.5,0,2
47,34,A,-0.5,0,2
68,34,A,-0.5,0,1
63,34,A,-0.5,0,1
42,34,A,-0.5,0,2
31,34,A,-0.5,0,3
33,34,A,-0.5,0,1
57,34,A,-0.5,0,1
25,34,A,-0.5,0,5
45,34,A,-0.5,0,5
30,34,A,-0.5,0,5
18,34,A,-0.5,0,2
40,34,A,-0.5,0,2
65,34,A,-0.5,0,1
66,37,A,-0.5,0,2
20,37,A,-0.5,0,6
22,37,A,-0.5,0,2
69,37,A,-0.5,0,2
7,37,A,-0.5,0,2
41,37,A,-0.5,0,1
60,37,A,-0.5,0,3
19,37,A,-0.5,0,1
59,37,A,-0.5,0,1
15,37,A,-0.5,0,1
51,37,A,-0.5,0,1
8,37,A,-0.5,0,3
32,37,A,-0.5,0,1
6,37,A,-0.5,0,1
28,37,A,-0.5,0,2
10,37,A,-0.5,0,2
26,37,A,-0.5,0,5
53,37,A,-0.5,0,1
46,37,A,-0.5,0,3
24,37,A,-0.5,0,1
34,37,A,-0.5,0,1
16,37,A,-0.5,0,1
58,37,A,-0.5,0,1
12,37,A,-0.5,0,4
39,37,A,-0.5,0,4
38,37,A,-0.5,0,3
37,37,A,-0.5,0,6
43,37,A,-0.5,0,1
3,37,A,-0.5,0,3
54,37,A,-0.5,0,1
11,37,A,-0.5,0,2
61,37,A,-0.5,0,1
13,37,A,-0.5,0,1
70,37,A,-0.5,0,1
44,37,A,-0.5,0,1
14,37,A,-0.5,0,2
17,37,A,-0.5,0,1
27,37,A,-0.5,0,3
55,37,A,-0.5,0,2
36,37,A,-0.5,0,2
5,37,A,-0.5,0,2
21,37,A,-0.5,0,3
48,37,A,-0.5,0,1
23,37,A,-0.5,0,2
2,37,A,-0.5,0,6
35,37,A,-0.5,0,1
1,37,A,-0.5,0,5
67,37,A,-0.5,0,3
